model,effect,metric,value,cv1,n
posthoc_orth,y,var,0.00220635998994112,0.5,12800
posthoc_orth,fx,mspe,0.02159733697772026,0.5,12800
posthoc_orth,fx,bias2,0.01981908455491066,0.5,12800
posthoc_orth,fx,var,0.0017782533541321754,0.5,12800
posthoc_orth,fr,mspe,0.002135401824489236,0.5,12800
posthoc_orth,fr,bias2,0.00035714826663024724,0.5,12800
posthoc_orth,fr,var,0.0017782533541321754,0.5,12800
posthoc_orth,fz,mspe,0.02035464346408844,0.5,12800
posthoc_orth,fz,bias2,0.02006572298705578,0.5,12800
posthoc_orth,fz,var,0.0002889213792514056,0.5,12800
base,y,mspe,1.0421419143676758,0.6,12800
base,y,bias2,1.0396313667297363,0.6,12800
base,y,var,0.0025104600936174393,0.6,12800
base,fx,mspe,0.059632912278175354,0.6,12800
base,fx,bias2,0.057826004922389984,0.6,12800
base,fx,var,0.001806907937861979,0.6,12800
base,fr,mspe,0.1374140828847885,0.6,12800
base,fr,bias2,0.13560718297958374,0.6,12800
base,fr,var,0.001806907937861979,0.6,12800
base,fz,mspe,0.07795459032058716,0.6,12800
base,fz,bias2,0.07795459032058716,0.6,12800
base,fz,var,0.0,0.6,12800
posthoc,y,mspe,1.0057905912399292,0.6,12800
posthoc,y,bias2,1.0035724639892578,0.6,12800
posthoc,y,var,0.002218211069703102,0.6,12800
posthoc,fx,mspe,0.0031984494999051094,0.6,12800
posthoc,fx,bias2,0.0005383591633290052,0.6,12800
posthoc,fx,var,0.002660090336576104,0.6,12800
posthoc,fr,mspe,0.026056628674268723,0.6,12800
posthoc,fr,bias2,0.023396534845232964,0.6,12800
posthoc,fr,var,0.002660090336576104,0.6,12800
posthoc,fz,mspe,0.0013169306330382824,0.6,12800
posthoc,fz,bias2,8.93880715011619e-05,0.6,12800
posthoc,fz,var,0.0012275426415726542,0.6,12800
posthoc_orth,y,mspe,1.0057952404022217,0.6,12800
posthoc_orth,y,bias2,1.0035635232925415,0.6,12800
posthoc_orth,y,var,0.002231793710961938,0.6,12800
posthoc_orth,fx,mspe,0.021512897685170174,0.6,12800
posthoc_orth,fx,bias2,0.019718527793884277,0.6,12800
posthoc_orth,fx,var,0.00179437012411654,0.6,12800
posthoc_orth,fr,mspe,0.0021782945841550827,0.6,12800
posthoc_orth,fr,bias2,0.00038392478018067777,0.6,12800
posthoc_orth,fr,var,0.00179437012411654,0.6,12800
posthoc_orth,fz,mspe,0.02035463973879814,0.6,12800
posthoc_orth,fz,bias2,0.02006571739912033,0.6,12800
posthoc_orth,fz,var,0.00028892155387438834,0.6,12800
base,y,mspe,1.0293421745300293,0.7,12800
base,y,bias2,1.0270804166793823,0.7,12800
base,y,var,0.0022617175709456205,0.7,12800
base,fx,mspe,0.06706748902797699,0.7,12800
base,fx,bias2,0.06532442569732666,0.7,12800
base,fx,var,0.001743059721775353,0.7,12800
base,fr,mspe,0.1527903974056244,0.7,12800
base,fr,bias2,0.15104733407497406,0.7,12800
base,fr,var,0.001743059721775353,0.7,12800
base,fz,mspe,0.07795459032058716,0.7,12800
base,fz,bias2,0.07795459032058716,0.7,12800
base,fz,var,0.0,0.7,12800
posthoc,y,mspe,1.0057777166366577,0.7,12800
posthoc,y,bias2,1.0033499002456665,0.7,12800
posthoc,y,var,0.002427829662337899,0.7,12800
posthoc,fx,mspe,0.004746696446090937,0.7,12800
posthoc,fx,bias2,0.0007066162070259452,0.7,12800
posthoc,fx,var,0.00404008012264967,0.7,12800
posthoc,fr,mspe,0.02946322411298752,0.7,12800
posthoc,fr,bias2,0.025423144921660423,0.7,12800
posthoc,fr,var,0.00404008012264967,0.7,12800
posthoc,fz,mspe,0.002761503215879202,0.7,12800
posthoc,fz,bias2,0.0002503434952814132,0.7,12800
posthoc,fz,var,0.002511159749701619,0.7,12800
posthoc_orth,y,mspe,1.0057629346847534,0.7,12800
posthoc_orth,y,bias2,1.0033518075942993,0.7,12800
posthoc_orth,y,var,0.002410988323390484,0.7,12800
posthoc_orth,fx,mspe,0.021579168736934662,0.7,12800
posthoc_orth,fx,bias2,0.019611649215221405,0.7,12800
posthoc_orth,fx,var,0.0019675171934068203,0.7,12800
posthoc_orth,fr,mspe,0.002323944354429841,0.7,12800
posthoc_orth,fr,bias2,0.0003564270446076989,0.7,12800
posthoc_orth,fr,var,0.0019675171934068203,0.7,12800
posthoc_orth,fz,mspe,0.02035464346408844,0.7,12800
posthoc_orth,fz,bias2,0.02006571926176548,0.7,12800
posthoc_orth,fz,var,0.0002889211755245924,0.7,12800
base,y,mspe,1.0178300142288208,0.8,12800
base,y,bias2,1.0154743194580078,0.8,12800
base,y,var,0.0023556912783533335,0.8,12800
base,fx,mspe,0.0728762075304985,0.8,12800
base,fx,bias2,0.07113856822252274,0.8,12800
base,fx,var,0.0017376400064677,0.8,12800
base,fr,mspe,0.1645878255367279,0.8,12800
base,fr,bias2,0.16285018622875214,0.8,12800
base,fr,var,0.0017376400064677,0.8,12800
base,fz,mspe,0.07795459032058716,0.8,12800
base,fz,bias2,0.07795459032058716,0.8,12800
base,fz,var,0.0,0.8,12800
posthoc,y,mspe,1.0062355995178223,0.8,12800
posthoc,y,bias2,1.0040068626403809,0.8,12800
posthoc,y,var,0.002228847937658429,0.8,12800
posthoc,fx,mspe,0.010404548607766628,0.8,12800
posthoc,fx,bias2,0.002567207906395197,0.8,12800
posthoc,fx,var,0.007837340235710144,0.8,12800
posthoc,fr,mspe,0.04279906302690506,0.8,12800
posthoc,fr,bias2,0.034961722791194916,0.8,12800
posthoc,fr,var,0.007837340235710144,0.8,12800
posthoc,fz,mspe,0.008368680253624916,0.8,12800
posthoc,fz,bias2,0.001879167859442532,0.8,12800
posthoc,fz,var,0.006489511579275131,0.8,12800
posthoc_orth,y,mspe,1.0063531398773193,0.8,12800
posthoc_orth,y,bias2,1.0040805339813232,0.8,12800
posthoc_orth,y,var,0.0022725460585206747,0.8,12800
posthoc_orth,fx,mspe,0.021540295332670212,0.8,12800
posthoc_orth,fx,bias2,0.019702034071087837,0.8,12800
posthoc_orth,fx,var,0.0018382625421509147,0.8,12800
posthoc_orth,fr,mspe,0.0022694342769682407,0.8,12800
posthoc_orth,fr,bias2,0.0004311715019866824,0.8,12800
posthoc_orth,fr,var,0.0018382625421509147,0.8,12800
posthoc_orth,fz,mspe,0.020354637876152992,0.8,12800
posthoc_orth,fz,bias2,0.02006571553647518,0.8,12800
posthoc_orth,fz,var,0.00028892161208204925,0.8,12800
base,y,mspe,1.0094119310379028,0.9,12800
base,y,bias2,1.0072202682495117,0.9,12800
base,y,var,0.002191685838624835,0.9,12800
base,fx,mspe,0.07756324112415314,0.9,12800
base,fx,bias2,0.07594747841358185,0.9,12800
base,fx,var,0.0016157564241439104,0.9,12800
base,fr,mspe,0.173420250415802,0.9,12800
base,fr,bias2,0.1718044877052307,0.9,12800
base,fr,var,0.0016157564241439104,0.9,12800
base,fz,mspe,0.07795459032058716,0.9,12800
base,fz,bias2,0.07795459032058716,0.9,12800
base,fz,var,0.0,0.9,12800
posthoc,y,mspe,1.0061335563659668,0.9,12800
posthoc,y,bias2,1.0040346384048462,0.9,12800
posthoc,y,var,0.002098926343023777,0.9,12800
posthoc,fx,mspe,0.02576036937534809,0.9,12800
posthoc,fx,bias2,0.010451337322592735,0.9,12800
posthoc,fx,var,0.015309031121432781,0.9,12800
posthoc,fr,mspe,0.07315123081207275,0.9,12800
posthoc,fr,bias2,0.0578421987593174,0.9,12800
posthoc,fr,var,0.015309031121432781,0.9,12800
posthoc,fz,mspe,0.023168005049228668,0.9,12800
posthoc,fz,bias2,0.009353470988571644,0.9,12800
posthoc,fz,var,0.013814534991979599,0.9,12800
posthoc_orth,y,mspe,1.0061297416687012,0.9,12800
posthoc_orth,y,bias2,1.0040321350097656,0.9,12800
posthoc_orth,y,var,0.0020976250525563955,0.9,12800
posthoc_orth,fx,mspe,0.021286971867084503,0.9,12800
posthoc_orth,fx,bias2,0.019627513363957405,0.9,12800
posthoc_orth,fx,var,0.0016594561748206615,0.9,12800
posthoc_orth,fr,mspe,0.0021250771824270487,0.9,12800
posthoc_orth,fr,bias2,0.0004656212404370308,0.9,12800
posthoc_orth,fr,var,0.0016594561748206615,0.9,12800
posthoc_orth,fz,mspe,0.02035464346408844,0.9,12800
posthoc_orth,fz,bias2,0.02006572298705578,0.9,12800
posthoc_orth,fz,var,0.0002889213210437447,0.9,12800
base,y,mspe,1.0048686265945435,1.0,12800
base,y,bias2,1.0027587413787842,1.0,12800
base,y,var,0.002109835622832179,1.0,12800
base,fx,mspe,0.08040070533752441,1.0,12800
base,fx,bias2,0.07880701124668121,1.0,12800
base,fx,var,0.0015936960699036717,1.0,12800
base,fr,mspe,0.17816132307052612,1.0,12800
base,fr,bias2,0.17656761407852173,1.0,12800
base,fr,var,0.0015936960699036717,1.0,12800
base,fz,mspe,0.07795459032058716,1.0,12800
base,fz,bias2,0.07795459032058716,1.0,12800
base,fz,var,0.0,1.0,12800
posthoc,y,mspe,1.0044889450073242,1.0,12800
posthoc,y,bias2,1.002511739730835,1.0,12800
posthoc,y,var,0.0019771826919168234,1.0,12800
posthoc,fx,mspe,0.059455834329128265,1.0,12800
posthoc,fx,bias2,0.025848573073744774,1.0,12800
posthoc,fx,var,0.03360726311802864,1.0,12800
posthoc,fr,mspe,0.12350048124790192,1.0,12800
posthoc,fr,bias2,0.08989321440458298,1.0,12800
posthoc,fr,var,0.03360726311802864,1.0,12800
posthoc,fz,mspe,0.05622125789523125,1.0,12800
posthoc,fz,bias2,0.024406738579273224,1.0,12800
posthoc,fz,var,0.031814511865377426,1.0,12800
posthoc_orth,y,mspe,1.0044951438903809,1.0,12800
posthoc_orth,y,bias2,1.0025110244750977,1.0,12800
posthoc_orth,y,var,0.0019841298926621675,1.0,12800
posthoc_orth,fx,mspe,0.02105713076889515,1.0,12800
posthoc_orth,fx,bias2,0.0195063054561615,1.0,12800
posthoc_orth,fx,var,0.001550826127640903,1.0,12800
posthoc_orth,fr,mspe,0.0019342685118317604,1.0,12800
posthoc_orth,fr,bias2,0.0003834422386717051,1.0,12800
posthoc_orth,fr,var,0.001550826127640903,1.0,12800
posthoc_orth,fz,mspe,0.02035464346408844,1.0,12800
posthoc_orth,fz,bias2,0.02006572298705578,1.0,12800
posthoc_orth,fz,var,0.0002889212337322533,1.0,12800
base,y,mspe,1.0674320459365845,0.0,1600
base,y,bias2,1.0586028099060059,0.0,1600
base,y,var,0.008829369209706783,0.0,1600
base,fx,mspe,0.040283821523189545,0.0,1600
base,fx,bias2,0.034148380160331726,0.0,1600
base,fx,var,0.006135449279099703,0.0,1600
base,fr,mspe,0.09415242820978165,0.0,1600
base,fr,bias2,0.08801698684692383,0.0,1600
base,fr,var,0.006135449279099703,0.0,1600
base,fz,mspe,0.07795459032058716,0.0,1600
base,fz,bias2,0.07795459032058716,0.0,1600
base,fz,var,0.0,0.0,1600
posthoc,y,mspe,1.016403079032898,0.0,1600
posthoc,y,bias2,1.0027744770050049,0.0,1600
posthoc,y,var,0.013628428801894188,0.0,1600
posthoc,fx,mspe,0.011605063453316689,0.0,1600
posthoc,fx,bias2,0.0018613600404933095,0.0,1600
posthoc,fx,var,0.0097437035292387,0.0,1600
posthoc,fr,mspe,0.03322264179587364,0.0,1600
posthoc,fr,bias2,0.023478936403989792,0.0,1600
posthoc,fr,var,0.0097437035292387,0.0,1600
posthoc,fz,mspe,0.003978111315518618,0.0,1600
posthoc,fz,bias2,4.4394804717740044e-05,0.0,1600
posthoc,fz,var,0.003933716099709272,0.0,1600
posthoc_orth,y,mspe,1.0163933038711548,0.0,1600
posthoc_orth,y,bias2,1.002773404121399,0.0,1600
posthoc_orth,y,var,0.013619845733046532,0.0,1600
posthoc_orth,fx,mspe,0.0300441961735487,0.0,1600
posthoc_orth,fx,bias2,0.021404055878520012,0.0,1600
posthoc_orth,fx,var,0.008640136569738388,0.0,1600
posthoc_orth,fr,mspe,0.01044466346502304,0.0,1600
posthoc_orth,fr,bias2,0.0018045267788693309,0.0,1600
posthoc_orth,fr,var,0.008640136569738388,0.0,1600
posthoc_orth,fz,mspe,0.022856932133436203,0.0,1600
posthoc_orth,fz,bias2,0.019931919872760773,0.0,1600
posthoc_orth,fz,var,0.002925012493506074,0.0,1600
base,y,mspe,1.068287968635559,0.1,1600
base,y,bias2,1.0600464344024658,0.1,1600
base,y,var,0.00824158824980259,0.1,1600
base,fx,mspe,0.04112790524959564,0.1,1600
base,fx,bias2,0.03516217693686485,0.1,1600
base,fx,var,0.00596573343500495,0.1,1600
base,fr,mspe,0.09575386345386505,0.1,1600
base,fr,bias2,0.08978813141584396,0.1,1600
base,fr,var,0.00596573343500495,0.1,1600
base,fz,mspe,0.07795459032058716,0.1,1600
base,fz,bias2,0.07795459032058716,0.1,1600
base,fz,var,0.0,0.1,1600
posthoc,y,mspe,1.0174903869628906,0.1,1600
posthoc,y,bias2,1.0032942295074463,0.1,1600
posthoc,y,var,0.014196086674928665,0.1,1600
posthoc,fx,mspe,0.01182551123201847,0.1,1600
posthoc,fx,bias2,0.0013852400006726384,0.1,1600
