model,effect,metric,value,bz,n
refit_orth,fz,var,0.00045573682291433215,1.5,12800
base,y,mspe,0.23786628246307373,1.5,12800
base,y,bias2,0.23756523430347443,1.5,12800
base,y,var,0.0003010708896908909,1.5,12800
base,fx,mspe,0.10641200095415115,1.5,12800
base,fx,bias2,0.10276436060667038,1.5,12800
base,fx,var,0.0036476466339081526,1.5,12800
base,fr,mspe,0.1978762298822403,1.5,12800
base,fr,bias2,0.19422858953475952,1.5,12800
base,fr,var,0.0036476466339081526,1.5,12800
base,fz,mspe,0.1753978282213211,1.5,12800
base,fz,bias2,0.1753978282213211,1.5,12800
base,fz,var,0.0,1.5,12800
posthoc_web,y,mspe,0.25458237528800964,1.5,12800
posthoc_web,y,bias2,0.25428175926208496,1.5,12800
posthoc_web,y,var,0.00030061331926845014,1.5,12800
posthoc_web,fx,mspe,0.06170932948589325,1.5,12800
posthoc_web,fx,bias2,0.05858578532934189,1.5,12800
posthoc_web,fx,var,0.003123540198430419,1.5,12800
posthoc_web,fr,mspe,0.03951645269989967,1.5,12800
posthoc_web,fr,bias2,0.03639291226863861,1.5,12800
posthoc_web,fr,var,0.003123540198430419,1.5,12800
posthoc_web,fz,mspe,0.1753978282213211,1.5,12800
posthoc_web,fz,bias2,0.1753978282213211,1.5,12800
posthoc_web,fz,var,0.0,1.5,12800
refit,y,mspe,0.22557389736175537,2,12800
refit,y,bias2,0.22540950775146484,2,12800
refit,y,var,0.00016438934835605323,2,12800
refit,fx,mspe,0.0044675725512206554,2,12800
refit,fx,bias2,0.0011654968839138746,2,12800
refit,fx,var,0.0033020759001374245,2,12800
refit,fr,mspe,0.028187725692987442,2,12800
refit,fr,bias2,0.024885648861527443,2,12800
refit,fr,var,0.0033020759001374245,2,12800
refit,fz,mspe,0.0013879468897357583,2,12800
refit,fz,bias2,0.00029471892048604786,2,12800
refit,fz,var,0.001093227998353541,2,12800
refit_orth,y,mspe,0.2255735844373703,2,12800
refit_orth,y,bias2,0.22540946304798126,2,12800
refit_orth,y,var,0.0001640897971810773,2,12800
refit_orth,fx,mspe,0.022929705679416656,2,12800
refit_orth,fx,bias2,0.020393334329128265,2,12800
refit_orth,fx,var,0.0025363736785948277,2,12800
refit_orth,fr,mspe,0.003474757308140397,2,12800
refit_orth,fr,bias2,0.0009383836877532303,2,12800
refit_orth,fr,var,0.0025363736785948277,2,12800
refit_orth,fz,mspe,0.019365794956684113,2,12800
refit_orth,fz,bias2,0.018899550661444664,2,12800
refit_orth,fz,var,0.00046624563401564956,2,12800
base,y,mspe,0.23326140642166138,2,12800
base,y,bias2,0.2329578846693039,2,12800
base,y,var,0.00030352792236953974,2,12800
base,fx,mspe,0.19584165513515472,2,12800
base,fx,bias2,0.19106362760066986,2,12800
base,fx,var,0.004778034519404173,2,12800
base,fr,mspe,0.31361380219459534,2,12800
base,fr,bias2,0.30883580446243286,2,12800
