model,effect,metric,value,n
circe_10,fx,bias2,0.0343194305896759,102400
circe_10,fx,var,0.00040742478449828923,102400
circe_10,fr,mspe,0.09435739368200302,102400
circe_10,fr,bias2,0.09394996613264084,102400
circe_10,fr,var,0.00040742478449828923,102400
circe_10,fz,mspe,0.07795459032058716,102400
circe_10,fz,bias2,0.07795459032058716,102400
circe_10,fz,var,0.0,102400
circe_100,y,mspe,1.1168533563613892,102400
circe_100,y,bias2,1.107184648513794,102400
circe_100,y,var,0.009668772108852863,102400
circe_100,fx,mspe,0.020335083827376366,102400
circe_100,fx,bias2,0.010689463466405869,102400
circe_100,fx,var,0.009645620360970497,102400
circe_100,fr,mspe,0.04553228244185448,102400
circe_100,fr,bias2,0.03588666766881943,102400
circe_100,fr,var,0.009645620360970497,102400
circe_100,fz,mspe,0.07795459032058716,102400
circe_100,fz,bias2,0.07795459032058716,102400
circe_100,fz,var,0.0,102400
refit,y,mspe,1.0046800374984741,12800
refit,y,bias2,1.0036962032318115,12800
refit,y,var,0.0009837389225140214,12800
refit,fx,mspe,0.0013902506325393915,12800
refit,fx,bias2,0.0004062809457536787,12800
refit,fx,var,0.0009839697740972042,12800
refit,fr,mspe,0.023151490837335587,12800
refit,fr,bias2,0.022167520597577095,12800
refit,fr,var,0.0009839697740972042,12800
refit,fz,mspe,0.0003945360949728638,12800
refit,fz,bias2,6.89373046043329e-05,12800
refit,fz,var,0.00032559875398874283,12800
refit_orth,y,mspe,1.0046800374984741,12800
refit_orth,y,bias2,1.0036944150924683,12800
refit_orth,y,var,0.0009856283431872725,12800
refit_orth,fx,mspe,0.020548004657030106,12800
refit_orth,fx,bias2,0.019780199974775314,12800
refit_orth,fx,var,0.0007678067195229232,12800
refit_orth,fr,mspe,0.0011077161179855466,12800
refit_orth,fr,bias2,0.00033990945667028427,12800
refit_orth,fr,var,0.0007678067195229232,12800
refit_orth,fz,mspe,0.019530925899744034,12800
refit_orth,fz,bias2,0.019394567236304283,12800
refit_orth,fz,var,0.0001363600604236126,12800
nam,y,mspe,1.0068141222000122,12800
nam,y,bias2,1.0041182041168213,12800
nam,y,var,0.0026959485840052366,12800
nam,fx,mspe,0.0027703093364834785,12800
nam,fx,bias2,0.00027035726816393435,12800
nam,fx,var,0.0024999522138386965,12800
nam,fr,mspe,0.024502206593751907,12800
nam,fr,bias2,0.02200225368142128,12800
nam,fr,var,0.0024999522138386965,12800
nam,fz,mspe,0.001640003640204668,12800
nam,fz,bias2,0.0004010093689430505,12800
nam,fz,var,0.0012389941839501262,12800
nam_mlp,y,mspe,1.0049606561660767,12800
nam_mlp,y,bias2,1.0025230646133423,12800
nam_mlp,y,var,0.002437551971524954,12800
nam_mlp,fx,mspe,0.00223403237760067,12800
nam_mlp,fx,bias2,0.0005063983262516558,12800
nam_mlp,fx,var,0.001727634109556675,12800
nam_mlp,fr,mspe,0.018568549305200577,12800
nam_mlp,fr,bias2,0.016840914264321327,12800
nam_mlp,fr,var,0.001727634109556675,12800
nam_mlp,fz,mspe,0.0009809259790927172,12800
nam_mlp,fz,bias2,0.0001627961901249364,12800
nam_mlp,fz,var,0.000818129803519696,12800
base,y,mspe,1.052221655845642,12800
base,y,bias2,1.0511233806610107,12800
base,y,var,0.0010982747189700603,12800
base,fx,mspe,0.0495707131922245,12800
base,fx,bias2,0.048667244613170624,12800
base,fx,var,0.0009034683462232351,12800
base,fr,mspe,0.11856643855571747,12800
base,fr,bias2,0.11766296625137329,12800
base,fr,var,0.0009034683462232351,12800
base,fz,mspe,0.07795459032058716,12800
base,fz,bias2,0.07795459032058716,12800
base,fz,var,0.0,12800
posthoc_web,y,mspe,1.2382383346557617,12800
posthoc_web,y,bias2,1.237178921699524,12800
posthoc_web,y,var,0.0010594479972496629,12800
posthoc_web,fx,mspe,0.039192307740449905,12800
posthoc_web,fx,bias2,0.03836139291524887,12800
posthoc_web,fx,var,0.0008309183758683503,12800
posthoc_web,fr,mspe,0.018084483221173286,12800
posthoc_web,fr,bias2,0.017253566533327103,12800
posthoc_web,fr,var,0.0008309183758683503,12800
