model,effect,metric,value,n,q
refit,fz,mspe,0.0005236800643615425,12800,4
refit,fz,bias2,0.00013386935461312532,12800,4
refit,fz,var,0.00038981062243692577,12800,4
nam,y,mspe,1.0102897882461548,12800,4
nam,y,bias2,1.0080913305282593,12800,4
nam,y,var,0.002198399044573307,12800,4
nam,fx,mspe,0.004626364912837744,12800,4
nam,fx,bias2,0.002388367895036936,12800,4
nam,fx,var,0.002237997017800808,12800,4
nam,fr,mspe,0.034802064299583435,12800,4
nam,fr,bias2,0.03256406635046005,12800,4
nam,fr,var,0.002237997017800808,12800,4
nam,fz,mspe,0.005649912171065807,12800,4
nam,fz,bias2,0.004150369670242071,12800,4
nam,fz,var,0.001499542617239058,12800,4
nam_mlp,y,mspe,1.006076693534851,12800,4
nam_mlp,y,bias2,1.0044736862182617,12800,4
nam_mlp,y,var,0.0016029765829443932,12800,4
nam_mlp,fx,mspe,0.0021195525769144297,12800,4
nam_mlp,fx,bias2,0.0005307068349793553,12800,4
nam_mlp,fx,var,0.0015888458583503962,12800,4
nam_mlp,fr,mspe,0.023927612230181694,12800,4
nam_mlp,fr,bias2,0.02233876660466194,12800,4
nam_mlp,fr,var,0.0015888458583503962,12800,4
nam_mlp,fz,mspe,0.001331572886556387,12800,4
nam_mlp,fz,bias2,0.00029859517235308886,12800,4
nam_mlp,fz,var,0.0010329773649573326,12800,4
refit,y,mspe,1.0039770603179932,12800,512
refit,y,bias2,1.0029654502868652,12800,512
refit,y,var,0.0010116189951077104,12800,512
refit,fx,mspe,0.001330520841293037,12800,512
refit,fx,bias2,0.0003094725834671408,12800,512
refit,fx,var,0.0010210484033450484,12800,512
refit,fr,mspe,0.022336339578032494,12800,512
refit,fr,bias2,0.02131529338657856,12800,512
refit,fr,var,0.0010210484033450484,12800,512
refit,fz,mspe,0.00035758488229475915,12800,512
refit,fz,bias2,3.100190588156693e-05,12800,512
refit,fz,var,0.00032658292911946774,12800,512
nam,y,mspe,1.011939287185669,12800,512
nam,y,bias2,1.0088918209075928,12800,512
nam,y,var,0.0030473682563751936,12800,512
nam,fx,mspe,0.006128660403192043,12800,512
nam,fx,bias2,0.0028128670528531075,12800,512
nam,fx,var,0.003315792651847005,12800,512
nam,fr,mspe,0.037347305566072464,12800,512
nam,fr,bias2,0.03403151407837868,12800,512
nam,fr,var,0.003315792651847005,12800,512
nam,fz,mspe,0.007329912390559912,12800,512
nam,fz,bias2,0.004858674947172403,12800,512
nam,fz,var,0.0024712372105568647,12800,512
nam_mlp,y,mspe,1.0067009925842285,12800,512
nam_mlp,y,bias2,1.0050382614135742,12800,512
nam_mlp,y,var,0.0016626459546387196,12800,512
nam_mlp,fx,mspe,0.002134795766323805,12800,512
nam_mlp,fx,bias2,0.0006287611904554069,12800,512
nam_mlp,fx,var,0.0015060347504913807,12800,512
nam_mlp,fr,mspe,0.026383686810731888,12800,512
nam_mlp,fr,bias2,0.024877650663256645,12800,512
nam_mlp,fr,var,0.0015060347504913807,12800,512
nam_mlp,fz,mspe,0.0018563144840300083,12800,512
nam_mlp,fz,bias2,0.0008591358200646937,12800,512
nam_mlp,fz,var,0.0009971787221729755,12800,512
refit,y,mspe,1.004634976387024,12800,64
refit,y,bias2,1.0036767721176147,12800,64
