model,effect,metric,value,n,p
refit_orth,fz,var,0.0059791491366922855,1600,4
refit,y,mspe,1.050055742263794,1600,8
refit,y,bias2,1.035001277923584,1600,8
refit,y,var,0.015054409392178059,1600,8
refit,fx,mspe,0.013677370734512806,1600,8
refit,fx,bias2,0.007450636010617018,1600,8
refit,fx,var,0.0062267351895570755,1600,8
refit,fr,mspe,0.03543449938297272,1600,8
refit,fr,bias2,0.02920776605606079,1600,8
refit,fr,var,0.0062267351895570755,1600,8
refit,fz,mspe,0.012238268740475178,1600,8
refit,fz,bias2,0.0011994976084679365,1600,8
refit,fz,var,0.011038769036531448,1600,8
refit_orth,y,mspe,1.050055980682373,1600,8
refit_orth,y,bias2,1.0350016355514526,1600,8
refit_orth,y,var,0.015054363757371902,1600,8
refit_orth,fx,mspe,0.03165895491838455,1600,8
refit_orth,fx,bias2,0.026649771258234978,1600,8
refit_orth,fx,var,0.0050091869197785854,1600,8
refit_orth,fr,mspe,0.010802827775478363,1600,8
refit_orth,fr,bias2,0.005793641787022352,1600,8
refit_orth,fr,var,0.0050091869197785854,1600,8
refit_orth,fz,mspe,0.029790392145514488,1600,8
refit_orth,fz,bias2,0.019304487854242325,1600,8
refit_orth,fz,var,0.010485904291272163,1600,8
refit,y,mspe,1.0035552978515625,25600,1
refit,y,bias2,1.002927541732788,25600,1
refit,y,var,0.0006277262582443655,25600,1
refit,fx,mspe,0.000800172972958535,25600,1
refit,fx,bias2,0.00020760676125064492,25600,1
refit,fx,var,0.000592566269915551,25600,1
refit,fr,mspe,0.0225461907684803,25600,1
refit,fr,bias2,0.021953623741865158,25600,1
refit,fr,var,0.000592566269915551,25600,1
refit,fz,mspe,0.0002068485482595861,25600,1
refit,fz,bias2,5.529473492060788e-05,25600,1
refit,fz,var,0.00015155383152887225,25600,1
refit_orth,y,mspe,1.003553867340088,25600,1
refit_orth,y,bias2,1.0029335021972656,25600,1
refit_orth,y,var,0.0006204936071299016,25600,1
refit_orth,fx,mspe,0.020231561735272408,25600,1
refit_orth,fx,bias2,0.019708022475242615,25600,1
refit_orth,fx,var,0.0005235394928604364,25600,1
refit_orth,fr,mspe,0.0006666348781436682,25600,1
refit_orth,fr,bias2,0.00014309539983514696,25600,1
refit_orth,fr,var,0.0005235394928604364,25600,1
refit_orth,fz,mspe,0.01981876790523529,25600,1
refit_orth,fz,bias2,0.019746825098991394,25600,1
refit_orth,fz,var,7.194161298684776e-05,25600,1
refit,y,mspe,0.9859668016433716,25600,16
refit,y,bias2,0.9834957122802734,25600,16
refit,y,var,0.00247110310010612,25600,16
refit,fx,mspe,0.005082635208964348,25600,16
refit,fx,bias2,0.0034328950569033623,25600,16
refit,fx,var,0.001649740501306951,25600,16
refit,fr,mspe,0.026433739811182022,25600,16
refit,fr,bias2,0.024783996865153313,25600,16
refit,fr,var,0.001649740501306951,25600,16
refit,fz,mspe,0.003000612836331129,25600,16
refit,fz,bias2,0.0012826313031837344,25600,16
refit,fz,var,0.0017179816495627165,25600,16
refit_orth,y,mspe,0.9859628081321716,25600,16
refit_orth,y,bias2,0.9834922552108765,25600,16
refit_orth,y,var,0.002470671897754073,25600,16
refit_orth,fx,mspe,0.02466133050620556,25600,16
refit_orth,fx,bias2,0.023454828187823296,25600,16
refit_orth,fx,var,0.0012065053451806307,25600,16
refit_orth,fr,mspe,0.003305570688098669,25600,16
refit_orth,fr,bias2,0.002099065575748682,25600,16
refit_orth,fr,var,0.0012065053451806307,25600,16
refit_orth,fz,mspe,0.02336633950471878,25600,16
refit_orth,fz,bias2,0.02192126214504242,25600,16
refit_orth,fz,var,0.001445076777599752,25600,16
refit,y,mspe,0.9575349688529968,25600,2
refit,y,bias2,0.9566232562065125,25600,2
refit,y,var,0.0009116765577346087,25600,2
refit,fx,mspe,0.0016786628402769566,25600,2
refit,fx,bias2,0.0007874235743656754,25600,2
refit,fx,var,0.0008912392077036202,25600,2
refit,fr,mspe,0.025305503979325294,25600,2
refit,fr,bias2,0.024414267390966415,25600,2
refit,fr,var,0.0008912392077036202,25600,2
refit,fz,mspe,0.0007367340731434524,25600,2
refit,fz,bias2,0.0004248151963111013,25600,2
