model,effect,metric,value,a,n
refit_orth,fr,bias2,0.011301605962216854,0.4,12800
refit_orth,fr,var,0.014248176477849483,0.4,12800
refit_orth,fz,mspe,0.04009068384766579,0.4,12800
refit_orth,fz,bias2,0.0008909687167033553,0.4,12800
refit_orth,fz,var,0.03919971361756325,0.4,12800
base,y,mspe,1.052075982093811,0.4,12800
base,y,bias2,1.050003170967102,0.4,12800
base,y,var,0.002072870032861829,0.4,12800
base,fx,mspe,0.048287283629179,0.4,12800
base,fx,bias2,0.04680609703063965,0.4,12800
base,fx,var,0.0014811888104304671,0.4,12800
base,fr,mspe,0.11638209968805313,0.4,12800
base,fr,bias2,0.11490092426538467,0.4,12800
base,fr,var,0.0014811888104304671,0.4,12800
base,fz,mspe,0.07795459032058716,0.4,12800
base,fz,bias2,0.07795459032058716,0.4,12800
base,fz,var,0.0,0.4,12800
posthoc_web,y,mspe,1.1842663288116455,0.4,12800
posthoc_web,y,bias2,1.1596912145614624,0.4,12800
posthoc_web,y,var,0.024575086310505867,0.4,12800
posthoc_web,fx,mspe,0.04331810772418976,0.4,12800
posthoc_web,fx,bias2,0.019283398985862732,0.4,12800
posthoc_web,fx,var,0.024034710600972176,0.4,12800
posthoc_web,fr,mspe,0.04950045049190521,0.4,12800
posthoc_web,fr,bias2,0.025465738028287888,0.4,12800
posthoc_web,fr,var,0.024034710600972176,0.4,12800
posthoc_web,fz,mspe,0.07795459032058716,0.4,12800
posthoc_web,fz,bias2,0.07795459032058716,0.4,12800
posthoc_web,fz,var,0.0,0.4,12800
refit,y,mspe,1.0378730297088623,0.5,12800
refit,y,bias2,1.0312705039978027,0.5,12800
refit,y,var,0.006602451670914888,0.5,12800
refit,fx,mspe,0.028094451874494553,0.5,12800
refit,fx,bias2,0.027055297046899796,0.5,12800
refit,fx,var,0.0010391538962721825,0.5,12800
refit,fr,mspe,0.08444485068321228,0.5,12800
refit,fr,bias2,0.08340570330619812,0.5,12800
refit,fr,var,0.0010391538962721825,0.5,12800
refit,fz,mspe,0.048572830855846405,0.5,12800
refit,fz,bias2,0.042985547333955765,0.5,12800
refit,fz,var,0.005587279796600342,0.5,12800
refit_orth,y,mspe,1.0378731489181519,0.5,12800
refit_orth,y,bias2,1.0312711000442505,0.5,12800
refit_orth,y,var,0.006602082401514053,0.5,12800
refit_orth,fx,mspe,0.03090309165418148,0.5,12800
refit_orth,fx,bias2,0.010125084780156612,0.5,12800
refit_orth,fx,var,0.020778005942702293,0.5,12800
refit_orth,fr,mspe,0.04867328330874443,0.5,12800
refit_orth,fr,bias2,0.02789527364075184,0.5,12800
refit_orth,fr,var,0.020778005942702293,0.5,12800
refit_orth,fz,mspe,0.05163126811385155,0.5,12800
refit_orth,fz,bias2,0.0056315078400075436,0.5,12800
refit_orth,fz,var,0.045999765396118164,0.5,12800
base,y,mspe,1.052075982093811,0.5,12800
base,y,bias2,1.050003170967102,0.5,12800
base,y,var,0.002072870032861829,0.5,12800
base,fx,mspe,0.048287283629179,0.5,12800
base,fx,bias2,0.04680609703063965,0.5,12800
base,fx,var,0.0014811888104304671,0.5,12800
base,fr,mspe,0.11638209968805313,0.5,12800
base,fr,bias2,0.11490092426538467,0.5,12800
base,fr,var,0.0014811888104304671,0.5,12800
base,fz,mspe,0.07795459032058716,0.5,12800
base,fz,bias2,0.07795459032058716,0.5,12800
base,fz,var,0.0,0.5,12800
posthoc_web,y,mspe,1.1489700078964233,0.5,12800
posthoc_web,y,bias2,1.120448112487793,0.5,12800
posthoc_web,y,var,0.028521914035081863,0.5,12800
posthoc_web,fx,mspe,0.04527616500854492,0.5,12800
posthoc_web,fx,bias2,0.01728920266032219,0.5,12800
posthoc_web,fx,var,0.027986960485577583,0.5,12800
posthoc_web,fr,mspe,0.06864149123430252,0.5,12800
posthoc_web,fr,bias2,0.04065452516078949,0.5,12800
posthoc_web,fr,var,0.027986960485577583,0.5,12800
posthoc_web,fz,mspe,0.07795459032058716,0.5,12800
posthoc_web,fz,bias2,0.07795459032058716,0.5,12800
posthoc_web,fz,var,0.0,0.5,12800
refit,y,mspe,1.0438975095748901,0.6,12800
refit,y,bias2,1.0393033027648926,0.6,12800
refit,y,var,0.004594261758029461,0.6,12800
refit,fx,mspe,0.036955904215574265,0.6,12800
refit,fx,bias2,0.0359460823237896,0.6,12800
refit,fx,var,0.0010098203783854842,0.6,12800
refit,fr,mspe,0.09899555146694183,0.6,12800
refit,fr,bias2,0.09798572212457657,0.6,12800
refit,fr,var,0.0010098203783854842,0.6,12800
refit,fz,mspe,0.06174570694565773,0.6,12800
refit,fz,bias2,0.05819935351610184,0.6,12800
refit,fz,var,0.00354634877294302,0.6,12800
refit_orth,y,mspe,1.043941855430603,0.6,12800
refit_orth,y,bias2,1.0393164157867432,0.6,12800
refit_orth,y,var,0.004625511821359396,0.6,12800
