,confounding,q,Run,Model,Metric,MSE,Bias,Var
228,False,32,13,NN,yhat,1.9584119,0.029232655,1.9577531
229,False,32,13,NN,fxhat,0.0051488504,0.041376695,0.0034371633
230,False,32,13,NN,fzhat,0.98850226,-0.03083992,0.98765
231,False,32,13,Covar NN,yhat,1.0030996,0.009803311,1.0031037
232,False,32,13,Covar NN,fxhat,0.006029829,0.0555579,0.002943443
233,False,32,13,Covar NN,fzhat,0.0048075938,-0.06445047,0.00065379636
234,False,32,14,NN,yhat,1.9794518,-0.00987884,1.9795519
235,False,32,14,NN,fxhat,0.012656493,0.07255749,0.0073926444
236,False,32,14,NN,fzhat,0.99463475,-0.07312523,0.9893864
237,False,32,14,Covar NN,yhat,1.0174731,0.0038541139,1.01756
238,False,32,14,Covar NN,fxhat,0.0070386305,0.063444175,0.0030137692
239,False,32,14,Covar NN,fzhat,0.0031498147,-0.05027896,0.00062190293
240,False,32,15,NN,yhat,1.9812306,0.00058639987,1.9814284
241,False,32,15,NN,fxhat,0.007946127,0.0067679826,0.007901113
242,False,32,15,NN,fzhat,0.9682305,0.0022837697,0.9683221
243,False,32,15,Covar NN,yhat,1.0107003,-0.005457767,1.0107716
244,False,32,15,Covar NN,fxhat,0.004442761,-0.007287048,0.004390099
245,False,32,15,Covar NN,fzhat,0.00036719287,0.010294629,0.00026123962
246,False,32,16,NN,yhat,1.997581,-0.013349867,1.9976026
247,False,32,16,NN,fxhat,0.0066259596,0.018829508,0.0062720375
248,False,32,16,NN,fzhat,0.9809629,-0.038794518,0.97955585
249,False,32,16,Covar NN,yhat,1.002309,-0.001184227,1.0024077
250,False,32,16,Covar NN,fxhat,0.0036495056,-0.020062534,0.0032473248
251,False,32,16,Covar NN,fzhat,0.00041961198,0.012263165,0.0002692537
252,False,32,17,NN,yhat,2.0481787,-0.0044352883,2.048364
253,False,32,17,NN,fxhat,0.008252075,0.031869963,0.007237104
254,False,32,17,NN,fzhat,1.0026969,-0.05175807,1.000118
255,False,32,17,Covar NN,yhat,1.0074337,0.0043952097,1.0075151
256,False,32,17,Covar NN,fxhat,0.0021518748,0.0059282286,0.0021169425
257,False,32,17,Covar NN,fzhat,0.0005658298,-0.01698583,0.0002773392
258,False,32,18,NN,yhat,1.977859,1.5375519e-05,1.9780567
259,False,32,18,NN,fxhat,0.0062269736,-0.035920337,0.0049371966
260,False,32,18,NN,fzhat,0.97914475,0.029876232,0.97835
261,False,32,18,Covar NN,yhat,0.9901242,0.019208862,0.9898542
262,False,32,18,Covar NN,fxhat,0.0036054237,0.033079363,0.0025114305
263,False,32,18,Covar NN,fzhat,0.0009435116,-0.019929979,0.0005463623
264,False,32,19,NN,yhat,1.9906737,-0.027586658,1.9901116
265,False,32,19,NN,fxhat,0.0072365114,0.03365668,0.006104349
266,False,32,19,NN,fzhat,1.0043261,-0.058156542,1.0010439
267,False,32,19,Covar NN,yhat,0.9913307,-0.01594093,0.9911756
268,False,32,19,Covar NN,fxhat,0.0031126712,0.013716147,0.0029248311
269,False,32,19,Covar NN,fzhat,0.0016792791,-0.02657028,0.0009733968
270,False,32,20,NN,yhat,2.05225,0.017480299,2.0521495
271,False,32,20,NN,fxhat,0.0050878595,-0.033748206,0.0039493125
272,False,32,20,NN,fzhat,1.0314193,0.0449733,1.0294998
273,False,32,20,Covar NN,yhat,1.0110387,0.006115836,1.0111023
274,False,32,20,Covar NN,fxhat,0.0043144324,-0.035876304,0.0030276256
275,False,32,20,Covar NN,fzhat,0.0017586548,0.035736937,0.00048157427
276,False,32,21,NN,yhat,2.028149,0.017340668,2.0280507
277,False,32,21,NN,fxhat,0.006596735,-0.048752267,0.0042203735
278,False,32,21,NN,fzhat,1.0135471,0.060067687,1.0100399
