method,N,seed,mspe_y,mspe_fx,mspe_fz,corr_fx_z,b_z_hat,val_loss
dml,200,5,1.0276448726654053,0.056306056678295135,0.0002669940295163542,-0.21227238324840642,1.0534144639968872,1.0121919214725494
dml,200,3,1.0684293508529663,0.10379668325185776,0.00047650569467805326,0.38564292185525906,1.0706932544708252,0.9217483103275299
dml,200,1,1.142958402633667,0.12870363891124725,0.24418960511684418,-0.27391206457817724,2.7312026023864746,1.0187719911336899
dml,200,8,1.0143275260925293,0.4263112246990204,0.3971948027610779,0.7980556655863117,-1.2151856422424316,1.0199609845876694
dml,200,9,0.9723107814788818,0.05157982185482979,0.04022172465920448,0.6226643281036811,0.2950785756111145,1.3209288716316223
dml,200,6,1.006218671798706,0.03967281058430672,0.09340918064117432,-0.2080634149376688,2.0546722412109375,0.8533141985535622
dml,200,4,0.9984403252601624,0.017539724707603455,0.0020773920696228743,0.4225027911440211,0.9416170120239258,1.0710133165121078
dml,200,7,0.9914025068283081,0.021037332713603973,0.04732091724872589,-0.009954203528119248,1.7632254362106323,0.8136132508516312
dml,400,2,1.0098280906677246,0.07624813169240952,0.1551157534122467,-0.40824428753067943,2.384258270263672,0.8664513230323792
dml,400,0,1.0136302709579468,0.00917851459234953,0.0045054396614432335,0.1662198972613531,0.7765363454818726,1.0624178797006607
dml,400,4,0.9817953109741211,0.009772899560630322,0.001960563473403454,0.32536511368308163,0.9037705659866333,0.8621583580970764
dml,400,3,0.9942587018013,0.09024226665496826,0.07935781031847,0.6677044892305968,0.010479041375219822,1.1144026219844818
dml,400,5,0.9687711000442505,0.021310055628418922,0.0002799211360979825,0.03273038714650157,1.0412558317184448,1.0036308467388153
dml,400,9,0.9713161587715149,0.024953918531537056,0.01623336412012577,0.3733665029652209,0.5522143244743347,1.0684121251106262
dml,400,1,0.9727447628974915,0.06057211011648178,0.04432646185159683,-0.29514868390961596,1.737958550453186,0.9751233458518982
dml,400,7,1.0091416835784912,0.1397969126701355,0.13936670124530792,-0.5463342874769489,2.309647798538208,0.8862960636615753
dml,400,6,0.976188063621521,0.0578354112803936,0.026727896183729172,-0.3448020040734576,1.5697102546691895,1.0258006900548935
dml,400,8,0.972482442855835,0.005166723392903805,0.0015255276812240481,0.37321120853888257,0.8637644052505493,0.8960841298103333
dml,800,0,0.9774379134178162,0.05740074813365936,0.057932380586862564,0.6783331528658787,0.15426543354988098,0.9417170238494873
dml,800,3,0.9852601289749146,0.04474622383713722,0.0614507682621479,-0.23310589475008286,1.8706073760986328,1.020110867023468
dml,800,2,0.9813510775566101,0.00556452851742506,0.010089254006743431,0.33610570702409953,0.6473515033721924,1.018655023574829
dml,800,8,0.982316792011261,0.06020007282495499,0.028488855808973312,-0.38200624617739837,1.5931367874145508,1.128708267211914
dml,800,1,0.9852546453475952,0.023794399574398994,0.003914777189493179,0.4156042839834403,0.7800807952880859,1.0130734491348266
dml,800,7,0.9780429005622864,0.015853779390454292,0.00923196505755186,0.07809250308605993,1.3377119302749634,1.0464146661758422
dml,800,5,0.9878011345863342,0.07628972828388214,0.04032282903790474,-0.4095624303665135,1.701434850692749,0.9539380121231079
dml,800,4,0.9740609526634216,0.054369475692510605,0.035061560571193695,-0.3168509572731751,1.6433757543563843,1.119502465724945
dml,800,6,0.9759136438369751,0.0015173145802691579,0.0025141513906419277,0.26641745404804806,0.8238729238510132,0.9568964385986328
dml,800,9,0.9710381031036377,0.04388987645506859,0.029476819559931755,0.5542665479056719,0.3971332311630249,0.9637792181968688
dml,1600,1,0.9846961498260498,0.009142827242612839,0.005770140793174505,0.08980200104039382,1.2661737203598022,1.0716016936302184
dml,1600,0,0.9848423600196838,0.02182026579976082,0.012961904518306255,0.5973167479153376,0.5998333692550659,1.0568750786781311
dml,1600,2,0.9787055253982544,0.00282784691080451,2.238369415863417e-05,0.34753657261947574,0.9874395728111267,1.0073087072372438
dml,1600,3,0.9705968499183655,0.0034944983199238777,0.0014693905832245946,0.2985732367922022,0.8656060099601746,1.0035157632827758
