model,effect,metric,value,bz,n
base,y,var,0.00029264757176861167,2,12800
base,fx,mspe,0.1892518550157547,2,12800
base,fx,bias2,0.1845891922712326,2,12800
base,fx,var,0.004662643652409315,2,12800
base,fr,mspe,0.3052990436553955,2,12800
base,fr,bias2,0.3006364107131958,2,12800
base,fr,var,0.004662643652409315,2,12800
base,fz,mspe,0.31181836128234863,2,12800
base,fz,bias2,0.31181836128234863,2,12800
base,fz,var,0.0,2,12800
posthoc,y,mspe,0.2255881428718567,2,12800
posthoc,y,bias2,0.2252490073442459,2,12800
posthoc,y,var,0.00033916591200977564,2,12800
posthoc,fx,mspe,0.00774838263168931,2,12800
posthoc,fx,bias2,0.001524904859252274,2,12800
posthoc,fx,var,0.006223477888852358,2,12800
posthoc,fr,mspe,0.031551532447338104,2,12800
posthoc,fr,bias2,0.025328055024147034,2,12800
posthoc,fr,var,0.006223477888852358,2,12800
posthoc,fz,mspe,0.0031470381654798985,2,12800
posthoc,fz,bias2,0.00013020483311265707,2,12800
posthoc,fz,var,0.003016832983121276,2,12800
posthoc_orth,y,mspe,0.22558803856372833,2,12800
posthoc_orth,y,bias2,0.225249245762825,2,12800
posthoc_orth,y,var,0.0003387928882148117,2,12800
posthoc_orth,fx,mspe,0.025091715157032013,2,12800
posthoc_orth,fx,bias2,0.02061501331627369,2,12800
posthoc_orth,fx,var,0.004476700909435749,2,12800
posthoc_orth,fr,mspe,0.005762921646237373,2,12800
posthoc_orth,fr,bias2,0.0012862201547250152,2,12800
posthoc_orth,fr,var,0.004476700909435749,2,12800
posthoc_orth,fz,mspe,0.02197728119790554,2,12800
posthoc_orth,fz,bias2,0.02046935260295868,2,12800
posthoc_orth,fz,var,0.0015079266158863902,2,12800
posthoc_web,y,mspe,0.29661810398101807,2,12800
posthoc_web,y,bias2,0.2960694134235382,2,12800
posthoc_web,y,var,0.0005487005691975355,2,12800
posthoc_web,fx,mspe,0.09182440489530563,2,12800
posthoc_web,fx,bias2,0.08781665563583374,2,12800
posthoc_web,fx,var,0.004007748793810606,2,12800
posthoc_web,fr,mspe,0.06910736858844757,2,12800
posthoc_web,fr,bias2,0.06509961932897568,2,12800
posthoc_web,fr,var,0.004007748793810606,2,12800
posthoc_web,fz,mspe,0.31181836128234863,2,12800
posthoc_web,fz,bias2,0.31181836128234863,2,12800
posthoc_web,fz,var,0.0,2,12800
base,y,mspe,0.22790466248989105,2.5,12800
base,y,bias2,0.22762078046798706,2.5,12800
base,y,var,0.0002838786749634892,2.5,12800
base,fx,mspe,0.2961593270301819,2.5,12800
base,fx,bias2,0.29113709926605225,2.5,12800
base,fx,var,0.005022227298468351,2.5,12800
base,fr,mspe,0.4369436502456665,2.5,12800
base,fr,bias2,0.43192145228385925,2.5,12800
base,fr,var,0.005022227298468351,2.5,12800
base,fz,mspe,0.48721617460250854,2.5,12800
base,fz,bias2,0.48721617460250854,2.5,12800
base,fz,var,0.0,2.5,12800
posthoc,y,mspe,0.21851901710033417,2.5,12800
posthoc,y,bias2,0.2181900441646576,2.5,12800
posthoc,y,var,0.0003289778542239219,2.5,12800
posthoc,fx,mspe,0.007948131300508976,2.5,12800
posthoc,fx,bias2,0.0013990753795951605,2.5,12800
posthoc,fx,var,0.006549055688083172,2.5,12800
posthoc,fr,mspe,0.030558953061699867,2.5,12800
posthoc,fr,bias2,0.02400989457964897,2.5,12800
posthoc,fr,var,0.006549055688083172,2.5,12800
posthoc,fz,mspe,0.003614439396187663,2.5,12800
posthoc,fz,bias2,4.7249683120753616e-05,2.5,12800
posthoc,fz,var,0.0035671896766871214,2.5,12800
posthoc_orth,y,mspe,0.21851909160614014,2.5,12800
posthoc_orth,y,bias2,0.21819038689136505,2.5,12800
posthoc_orth,y,var,0.00032870456925593317,2.5,12800
posthoc_orth,fx,mspe,0.025215918198227882,2.5,12800
posthoc_orth,fx,bias2,0.02053593099117279,2.5,12800
posthoc_orth,fx,var,0.00467998581007123,2.5,12800
posthoc_orth,fr,mspe,0.005955128464847803,2.5,12800
posthoc_orth,fr,bias2,0.0012751433532685041,2.5,12800
posthoc_orth,fr,var,0.00467998581007123,2.5,12800
posthoc_orth,fz,mspe,0.022171128541231155,2.5,12800
posthoc_orth,fz,bias2,0.020476946607232094,2.5,12800
posthoc_orth,fz,var,0.0016941811190918088,2.5,12800
posthoc_web,y,mspe,0.3100200891494751,2.5,12800
posthoc_web,y,bias2,0.3095388114452362,2.5,12800
posthoc_web,y,var,0.0004813198756892234,2.5,12800
posthoc_web,fx,mspe,0.13058605790138245,2.5,12800
posthoc_web,fx,bias2,0.12634845077991486,2.5,12800
posthoc_web,fx,var,0.004237599205225706,2.5,12800
posthoc_web,fr,mspe,0.10684093832969666,2.5,12800
posthoc_web,fr,bias2,0.10260333120822906,2.5,12800
posthoc_web,fr,var,0.004237599205225706,2.5,12800
posthoc_web,fz,mspe,0.48721617460250854,2.5,12800
posthoc_web,fz,bias2,0.48721617460250854,2.5,12800
posthoc_web,fz,var,0.0,2.5,12800
base,y,mspe,0.2225983738899231,3,12800
base,y,bias2,0.222300186753273,3,12800
base,y,var,0.0002982032601721585,3,12800
base,fx,mspe,0.42578721046447754,3,12800
base,fx,bias2,0.41982871294021606,3,12800
base,fx,var,0.005958520341664553,3,12800
base,fr,mspe,0.5909938812255859,3,12800
base,fr,bias2,0.5850353837013245,3,12800
base,fr,var,0.005958520341664553,3,12800
base,fz,mspe,0.7015913128852844,3,12800
base,fz,bias2,0.7015913128852844,3,12800
base,fz,var,0.0,3,12800
posthoc,y,mspe,0.20942993462085724,3,12800
posthoc,y,bias2,0.20907416939735413,3,12800
posthoc,y,var,0.00035573318018577993,3,12800
posthoc,fx,mspe,0.00892868172377348,3,12800
posthoc,fx,bias2,0.0012898272834718227,3,12800
posthoc,fx,var,0.007638853974640369,3,12800
posthoc,fr,mspe,0.030648088082671165,3,12800
posthoc,fr,bias2,0.02300923317670822,3,12800
posthoc,fr,var,0.007638853974640369,3,12800
posthoc,fz,mspe,0.004140643868595362,3,12800
posthoc,fz,bias2,7.441633897542488e-06,3,12800
posthoc,fz,var,0.004133202135562897,3,12800
posthoc_orth,y,mspe,0.20942996442317963,3,12800
posthoc_orth,y,bias2,0.20907409489154816,3,12800
posthoc_orth,y,var,0.00035587436286732554,3,12800
posthoc_orth,fx,mspe,0.025979679077863693,3,12800
posthoc_orth,fx,bias2,0.0205299761146307,3,12800
posthoc_orth,fx,var,0.005449701100587845,3,12800
posthoc_orth,fr,mspe,0.006676678080111742,3,12800
posthoc_orth,fr,bias2,0.0012269772123545408,3,12800
posthoc_orth,fr,var,0.005449701100587845,3,12800
posthoc_orth,fz,mspe,0.022668471559882164,3,12800
