model,effect,metric,value,n,q
posthoc_orth,fx,mspe,0.029073186218738556,1600,256
posthoc_orth,fx,bias2,0.021394534036517143,1600,256
posthoc_orth,fx,var,0.007678653113543987,1600,256
posthoc_orth,fr,mspe,0.2656172811985016,1600,256
posthoc_orth,fr,bias2,0.18925943970680237,1600,256
posthoc_orth,fr,var,0.07635786384344101,1600,256
posthoc_orth,fz,mspe,0.02435842901468277,1600,256
posthoc_orth,fz,bias2,0.021660078316926956,1600,256
posthoc_orth,fz,var,0.00269835046492517,1600,256
base,y,mspe,1.021823763847351,1600,32
base,y,bias2,1.0176488161087036,1600,32
base,y,var,0.004174979403614998,1600,32
base,fx,mspe,0.0787140280008316,1600,32
base,fx,bias2,0.07554098963737488,1600,32
base,fx,var,0.0031730281189084053,1600,32
base,fr,mspe,0.17238843441009521,1600,32
base,fr,bias2,0.16921541094779968,1600,32
base,fr,var,0.0031730281189084053,1600,32
base,fz,mspe,0.07795459032058716,1600,32
base,fz,bias2,0.07795459032058716,1600,32
base,fz,var,0.0,1600,32
posthoc,y,mspe,1.0162248611450195,1600,32
posthoc,y,bias2,1.005534052848816,1600,32
posthoc,y,var,0.010690907016396523,1600,32
