n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
12800,1.0,0.8,1,32,posthoc_web,fx,var,0.00053680793,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,fz,mspe,0.07795459,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,fz,bias2,0.07795459,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,fz,var,0.0,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,fr,mspe,0.0049396795,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,fr,bias2,0.0044028712,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_web,fr,var,0.00053680793,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
1600,1.0,0.8,1,32,base,y,mspe,1.0223991,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,y,bias2,1.0176069,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,y,var,0.0047921753,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fx,mspe,0.07432677,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fx,bias2,0.070534766,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fx,var,0.003792009,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fz,mspe,0.07795459,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fz,bias2,0.07795459,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fz,var,0.0,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fr,mspe,0.16546057,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fr,bias2,0.16166857,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,base,fr,var,0.003792009,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,y,mspe,1.0149568,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,y,bias2,1.0084463,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,y,var,0.006510457,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fx,mspe,0.036150526,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fx,bias2,0.011761822,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fx,var,0.024388704,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fz,mspe,0.03461189,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fz,bias2,0.011665771,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fz,var,0.022946117,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fr,mspe,0.08447246,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fr,bias2,0.06008375,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc,fr,var,0.024388704,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,y,mspe,1.0445794,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,y,bias2,1.0042642,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,y,var,0.040315155,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fx,mspe,0.061606407,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fx,bias2,0.0009136251,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fx,var,0.060692787,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fz,mspe,0.025424207,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fz,bias2,0.0006963935,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fz,var,0.024727814,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fr,mspe,0.08758672,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fr,bias2,0.026893945,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_lam0,fr,var,0.060692787,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,y,mspe,1.0147802,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,y,bias2,1.0082642,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,y,var,0.006515976,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fx,mspe,0.025539815,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fx,bias2,0.021274518,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fx,var,0.0042652967,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fz,mspe,0.020522535,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fz,bias2,0.018904356,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fz,var,0.0016181786,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fr,mspe,0.005312443,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fr,bias2,0.0010471463,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth,fr,var,0.0042652967,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,y,mspe,1.0427141,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,y,bias2,1.0032206,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,y,var,0.039493665,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fx,mspe,0.057602715,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fx,bias2,0.02041952,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fx,var,0.0371832,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fz,mspe,0.020857494,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fz,bias2,0.019231241,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fz,var,0.001626255,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fr,mspe,0.037535205,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fr,bias2,0.00035200277,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_orth_lam0,fr,var,0.0371832,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,y,mspe,1.2194467,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,y,bias2,1.2152412,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,y,var,0.004205454,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fx,mspe,0.027802581,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fx,bias2,0.025104862,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fx,var,0.0026977242,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fz,mspe,0.07795459,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fz,bias2,0.07795459,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fz,var,0.0,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fr,mspe,0.007394408,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fr,bias2,0.0046966835,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
1600,1.0,0.8,1,32,posthoc_web,fr,var,0.0026977242,n=1600_bz=1.0_cv1=0.8_p=1_q=32_20251022-161124
200,1.0,0.8,1,32,base,y,mspe,1.053729,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,y,bias2,1.0208483,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,y,var,0.03288087,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fx,mspe,0.08085766,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fx,bias2,0.056895304,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fx,var,0.023962345,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fz,mspe,0.07795459,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fz,bias2,0.07795459,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fz,var,0.0,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fr,mspe,0.163154,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fr,bias2,0.13919164,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,base,fr,var,0.023962345,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,y,mspe,1.0592082,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,y,bias2,1.0162535,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,y,var,0.042954754,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fx,mspe,0.094538584,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fx,bias2,0.033054113,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fx,var,0.06148447,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fz,mspe,0.077873774,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fz,bias2,0.041908592,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fz,var,0.03596518,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fr,mspe,0.15987682,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fr,bias2,0.098392345,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc,fr,var,0.06148447,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,y,mspe,2.0906546,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,y,bias2,1.0148461,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,y,var,1.0758086,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fx,mspe,1.3282138,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fx,bias2,0.0072490084,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fx,var,1.3209648,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fz,mspe,0.26321942,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fz,bias2,0.00010665799,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fz,var,0.26311275,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fr,mspe,1.3439502,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fr,bias2,0.022985313,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_lam0,fr,var,1.3209648,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,y,mspe,1.0589256,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,y,bias2,1.0156955,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,y,var,0.043229956,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fx,mspe,0.046018027,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fx,bias2,0.024218244,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fx,var,0.02179978,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fz,mspe,0.022601396,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fz,bias2,0.009008029,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fz,var,0.013593367,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fr,mspe,0.027544241,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fr,bias2,0.005744462,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth,fr,var,0.02179978,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth_lam0,y,mspe,2.0908573,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth_lam0,y,bias2,1.0150228,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth_lam0,y,var,1.0758345,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
200,1.0,0.8,1,32,posthoc_orth_lam0,fx,mspe,1.085791,n=200_bz=1.0_cv1=0.8_p=1_q=32_20251022-160149
