n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.1,1,32,posthoc_orth_lam0,fr,bias2,0.01209142,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_orth_lam0,fr,var,0.01241436,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,y,mspe,1.115385,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,y,bias2,1.112837,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,y,var,0.0025481104,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fx,mspe,0.003758432,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fx,bias2,0.0017658547,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fx,var,0.0019925772,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fz,var,0.0,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fr,mspe,0.018170636,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fr,bias2,0.016178057,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_web,fr,var,0.0019925772,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.2,1,32,base,y,mspe,1.0842195,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,y,bias2,1.080732,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,y,var,0.0034874736,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fx,mspe,0.010915558,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fx,bias2,0.00796356,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fx,var,0.002951998,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fz,var,0.0,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fr,mspe,0.044394147,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fr,bias2,0.041442145,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,base,fr,var,0.002951998,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,y,mspe,1.0078409,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,y,bias2,1.0032735,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,y,var,0.004567452,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
