model,effect,metric,value,n
posthoc_orth,y,bias2,1.0053879022598267,6400
posthoc_orth,y,var,0.0035816358868032694,6400
posthoc_orth,fx,mspe,0.022523583844304085,6400
posthoc_orth,fx,bias2,0.020149750635027885,6400
posthoc_orth,fx,var,0.0023738357704132795,6400
posthoc_orth,fr,mspe,0.2427104115486145,6400
posthoc_orth,fr,bias2,0.20514015853405,6400
posthoc_orth,fr,var,0.037570275366306305,6400
posthoc_orth,fz,mspe,0.01809864118695259,6400
posthoc_orth,fz,bias2,0.01741333305835724,6400
posthoc_orth,fz,var,0.0006853098166175187,6400
base,y,mspe,1.030003547668457,800
base,y,bias2,1.0177689790725708,800
base,y,var,0.012234593741595745,800
base,fx,mspe,0.081438809633255,800
base,fx,bias2,0.07002943754196167,800
base,fx,var,0.011409364640712738,800
base,fr,mspe,0.1720600575208664,800
base,fr,bias2,0.16065067052841187,800
base,fr,var,0.011409364640712738,800
base,fz,mspe,0.07795459032058716,800
base,fz,bias2,0.07795459032058716,800
base,fz,var,0.0,800
posthoc,y,mspe,1.0254932641983032,800
posthoc,y,bias2,1.0056519508361816,800
posthoc,y,var,0.019841216504573822,800
posthoc,fx,mspe,0.05470415577292442,800
posthoc,fx,bias2,0.006218086928129196,800
posthoc,fx,var,0.04848606884479523,800
posthoc,fr,mspe,0.09352660179138184,800
posthoc,fr,bias2,0.04504053294658661,800
posthoc,fr,var,0.04848606884479523,800
posthoc,fz,mspe,0.04566255211830139,800
posthoc,fz,bias2,0.004749880637973547,800
posthoc,fz,var,0.04091267287731171,800
posthoc_orth,y,mspe,1.0254931449890137,800
posthoc_orth,y,bias2,1.0056524276733398,800
posthoc_orth,y,var,0.01984071172773838,800
posthoc_orth,fx,mspe,0.03286616876721382,800
posthoc_orth,fx,bias2,0.021642319858074188,800
posthoc_orth,fx,var,0.011223849840462208,800
posthoc_orth,fr,mspe,0.35876837372779846,800
posthoc_orth,fr,bias2,0.1840427815914154,800
posthoc_orth,fr,var,0.17472560703754425,800
posthoc_orth,fz,mspe,0.025147385895252228,800
posthoc_orth,fz,bias2,0.020328493788838387,800
posthoc_orth,fz,var,0.004818891175091267,800
