n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.8,1,1024,posthoc_web,fx,mspe,0.026038995,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,fx,bias2,0.024116987,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,fx,var,0.0019220068,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,fz,var,0.0,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,fr,mspe,0.0063278615,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,fr,bias2,0.0044058543,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_web,fr,var,0.0019220068,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,128,base,y,mspe,1.0202667,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,y,bias2,1.0173831,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,y,var,0.002883511,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fx,mspe,0.075186476,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fx,bias2,0.07277818,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fx,var,0.0024082973,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fz,var,0.0,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fr,mspe,0.167643,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fr,bias2,0.16523468,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,base,fr,var,0.0024082973,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc,y,mspe,1.0103768,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc,y,bias2,1.0055844,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc,y,var,0.0047923895,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
