setting,sim_id,method,mspe_fx,mspe_fr,mspe_y,mean_fx_hat,var_fx_hat,n_total,outcome_type,q,bz,cv1
fig1b_gauss_bz0,4,base_full,0.002561934059485793,0.01326833851635456,1.0109336376190186,0.02049197256565094,0.13503387570381165,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,4,base_half,0.015354860574007034,0.008173956535756588,1.0262764692306519,0.022436676546931267,0.13485920429229736,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,4,posthoc,0.026186920702457428,0.012502754107117653,1.0220353603363037,0.0032002050429582596,0.1327187865972519,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,4,posthoc_same_sample,0.002444901503622532,0.010190541855990887,1.0071899890899658,0.019219066947698593,0.11714833229780197,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,5,base_full,0.005643436219543219,0.03211112320423126,1.0122766494750977,0.010445103980600834,0.10434337705373764,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,5,base_half,0.013279249891638756,0.04500869661569595,1.0107061862945557,-0.0012534052366390824,0.08178749680519104,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,5,posthoc,0.06660877168178558,0.1439732015132904,1.0411583185195923,0.06989917159080505,0.18497928977012634,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,5,posthoc_same_sample,0.006051361560821533,0.025779910385608673,1.0121221542358398,0.008884327486157417,0.08945169299840927,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,6,base_full,0.0022719711996614933,0.021114785224199295,1.0059738159179688,0.010186498984694481,0.13094696402549744,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,6,base_half,0.004212645813822746,0.013694358989596367,1.0112733840942383,0.006859607063233852,0.11541587859392166,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,6,posthoc,0.005532989278435707,0.010615182109177113,1.0045405626296997,0.0008245229837484658,0.10846444964408875,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,6,posthoc_same_sample,0.002994884504005313,0.035272400826215744,1.0157647132873535,0.006730156019330025,0.12523247301578522,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,7,base_full,0.002218896057456732,0.02572552114725113,1.00197172164917,0.002434075577184558,0.1019180566072464,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,7,base_half,0.008055977523326874,0.03739041090011597,1.0044281482696533,0.01980343833565712,0.0953790694475174,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,7,posthoc,0.00857179332524538,0.020733797922730446,1.0115927457809448,0.0022396964486688375,0.0895613580942154,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,7,posthoc_same_sample,0.0036101227160543203,0.026668239384889603,1.0030850172042847,0.00208347849547863,0.09361620247364044,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,8,base_full,0.0049634356983006,0.027109919115900993,1.0083295106887817,-0.003351987572386861,0.11198501288890839,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,8,base_half,0.006432192400097847,0.03523407503962517,1.0081045627593994,0.02441701851785183,0.09871555119752884,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,8,posthoc,0.01107979379594326,0.05246999114751816,1.006752371788025,-0.023984534665942192,0.12177661061286926,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,8,posthoc_same_sample,0.00557839497923851,0.027460424229502678,1.0082265138626099,-0.0033675062004476786,0.11080356687307358,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,9,base_full,0.001954183215275407,0.02184777334332466,1.0058969259262085,0.0013234263751655817,0.12444040179252625,1600,continuous,32,0.0,0.8
