model,effect,metric,value,n,p
posthoc,fx,mspe,0.03386033698916435,1600,1
posthoc,fx,bias2,0.01023722905665636,1600,1
posthoc,fx,var,0.023623108863830566,1600,1
posthoc,fr,mspe,0.07846307009458542,1600,1
posthoc,fr,bias2,0.05483996495604515,1600,1
posthoc,fr,var,0.023623108863830566,1600,1
posthoc,fz,mspe,0.0255313441157341,1600,1
posthoc,fz,bias2,0.006638051476329565,1600,1
posthoc,fz,var,0.018893294036388397,1600,1
posthoc_orth,y,mspe,1.0162324905395508,1600,1
posthoc_orth,y,bias2,1.0055350065231323,1600,1
posthoc_orth,y,var,0.010697505436837673,1600,1
posthoc_orth,fx,mspe,0.027961798012256622,1600,1
posthoc_orth,fx,bias2,0.021363461390137672,1600,1
posthoc_orth,fx,var,0.006598335690796375,1600,1
posthoc_orth,fr,mspe,0.2968248128890991,1600,1
posthoc_orth,fr,bias2,0.21770469844341278,1600,1
posthoc_orth,fr,var,0.07912009954452515,1600,1
posthoc_orth,fz,mspe,0.02435844950377941,1600,1
posthoc_orth,fz,bias2,0.0216600950807333,1600,1
posthoc_orth,fz,var,0.0026983546558767557,1600,1
base,y,mspe,1.0123540163040161,1600,16
base,y,bias2,1.0070505142211914,1600,16
base,y,var,0.005303402431309223,1600,16
base,fx,mspe,0.07060548663139343,1600,16
base,fx,bias2,0.06616000831127167,1600,16
base,fx,var,0.004445476923137903,1600,16
base,fr,mspe,0.15525813400745392,1600,16
base,fr,bias2,0.15081265568733215,1600,16
base,fr,var,0.004445476923137903,1600,16
base,fz,mspe,0.08544507622718811,1600,16
base,fz,bias2,0.08544507622718811,1600,16
base,fz,var,0.0,1600,16
posthoc,y,mspe,1.0416755676269531,1600,16
posthoc,y,bias2,0.9911332130432129,1600,16
posthoc,y,var,0.05054241046309471,1600,16
posthoc,fx,mspe,0.03991266340017319,1600,16
posthoc,fx,bias2,0.016619883477687836,1600,16
posthoc,fx,var,0.0232927817851305,1600,16
posthoc,fr,mspe,0.08570985496044159,1600,16
posthoc,fr,bias2,0.06241708621382713,1600,16
posthoc,fr,var,0.0232927817851305,1600,16
posthoc,fz,mspe,0.07105293869972229,1600,16
posthoc,fz,bias2,0.012443418614566326,1600,16
posthoc,fz,var,0.058609530329704285,1600,16
posthoc_orth,y,mspe,1.0416882038116455,1600,16
posthoc_orth,y,bias2,0.9911407232284546,1600,16
posthoc_orth,y,var,0.05054754763841629,1600,16
posthoc_orth,fx,mspe,0.03618215397000313,1600,16
posthoc_orth,fx,bias2,0.025671260431408882,1600,16
posthoc_orth,fx,var,0.010510892607271671,1600,16
posthoc_orth,fr,mspe,2.97880220413208,1600,16
posthoc_orth,fr,bias2,2.385483741760254,1600,16
posthoc_orth,fr,var,0.5933187007904053,1600,16
posthoc_orth,fz,mspe,0.06368576735258102,1600,16
posthoc_orth,fz,bias2,0.018800651654601097,1600,16
posthoc_orth,fz,var,0.044885121285915375,1600,16
base,y,mspe,0.9619989991188049,1600,2
base,y,bias2,0.9569147229194641,1600,2
base,y,var,0.005084274802356958,1600,2
base,fx,mspe,0.07548082619905472,1600,2
base,fx,bias2,0.07159935683012009,1600,2
base,fx,var,0.0038814640138298273,1600,2
base,fr,mspe,0.17156599462032318,1600,2
base,fr,bias2,0.16768451035022736,1600,2
base,fr,var,0.0038814640138298273,1600,2
base,fz,mspe,0.08510036766529083,1600,2
base,fz,bias2,0.08510036766529083,1600,2
base,fz,var,0.0,1600,2
posthoc,y,mspe,0.9687447547912598,1600,2
posthoc,y,bias2,0.9587350487709045,1600,2
posthoc,y,var,0.010009721852838993,1600,2
posthoc,fx,mspe,0.02709069475531578,1600,2
posthoc,fx,bias2,0.010164821520447731,1600,2
posthoc,fx,var,0.01692587323486805,1600,2
posthoc,fr,mspe,0.07401395589113235,1600,2
posthoc,fr,bias2,0.05708808824419975,1600,2
posthoc,fr,var,0.01692587323486805,1600,2
posthoc,fz,mspe,0.022237395867705345,1600,2
posthoc,fz,bias2,0.007694203872233629,1600,2
posthoc,fz,var,0.014543192461133003,1600,2
posthoc_orth,y,mspe,0.9687448740005493,1600,2
posthoc_orth,y,bias2,0.9587350487709045,1600,2
posthoc_orth,y,var,0.01000981219112873,1600,2
posthoc_orth,fx,mspe,0.028240671381354332,1600,2
posthoc_orth,fx,bias2,0.023047253489494324,1600,2
posthoc_orth,fx,var,0.0051934183575212955,1600,2
posthoc_orth,fr,mspe,0.4548048675060272,1600,2
posthoc_orth,fr,bias2,0.373117059469223,1600,2
posthoc_orth,fr,var,0.081687793135643,1600,2
posthoc_orth,fz,mspe,0.02498932182788849,1600,2
posthoc_orth,fz,bias2,0.020942673087120056,1600,2
posthoc_orth,fz,var,0.004046648275107145,1600,2
base,y,mspe,1.0859252214431763,1600,4
base,y,bias2,1.0799146890640259,1600,4
base,y,var,0.0060105095617473125,1600,4
base,fx,mspe,0.06689248234033585,1600,4
base,fx,bias2,0.0615355521440506,1600,4
base,fx,var,0.005356932990252972,1600,4
base,fr,mspe,0.15219652652740479,1600,4
base,fr,bias2,0.14683960378170013,1600,4
base,fr,var,0.005356932990252972,1600,4
base,fz,mspe,0.08119609206914902,1600,4
base,fz,bias2,0.08119609206914902,1600,4
base,fz,var,0.0,1600,4
posthoc,y,mspe,1.0940020084381104,1600,4
posthoc,y,bias2,1.0732520818710327,1600,4
posthoc,y,var,0.02074994519352913,1600,4
posthoc,fx,mspe,0.03251584619283676,1600,4
posthoc,fx,bias2,0.007598472759127617,1600,4
posthoc,fx,var,0.024917371571063995,1600,4
posthoc,fr,mspe,0.07355231046676636,1600,4
posthoc,fr,bias2,0.04863493889570236,1600,4
posthoc,fr,var,0.024917371571063995,1600,4
posthoc,fz,mspe,0.03297486528754234,1600,4
posthoc,fz,bias2,0.00673777237534523,1600,4
posthoc,fz,var,0.02623709663748741,1600,4
