model,effect,metric,value,cv1,n
posthoc_orth,y,var,0.001936095766723156,0.5,12800
posthoc_orth,fx,mspe,0.02143084444105625,0.5,12800
posthoc_orth,fx,bias2,0.019869491457939148,0.5,12800
posthoc_orth,fx,var,0.0015613549621775746,0.5,12800
posthoc_orth,fr,mspe,0.08951795846223831,0.5,12800
posthoc_orth,fr,bias2,0.08606769889593124,0.5,12800
posthoc_orth,fr,var,0.003450264222919941,0.5,12800
posthoc_orth,fz,mspe,0.01987561397254467,0.5,12800
posthoc_orth,fz,bias2,0.019658967852592468,0.5,12800
posthoc_orth,fz,var,0.0002166464546462521,0.5,12800
base,y,mspe,1.0416133403778076,0.6,12800
base,y,bias2,1.0406385660171509,0.6,12800
base,y,var,0.0009747905423864722,0.6,12800
base,fx,mspe,0.056945934891700745,0.6,12800
base,fx,bias2,0.056183405220508575,0.6,12800
base,fx,var,0.0007625313010066748,0.6,12800
base,fr,mspe,0.13381808996200562,0.6,12800
base,fr,bias2,0.13305556774139404,0.6,12800
base,fr,var,0.0007625313010066748,0.6,12800
base,fz,mspe,0.07795459032058716,0.6,12800
base,fz,bias2,0.07795459032058716,0.6,12800
base,fz,var,0.0,0.6,12800
posthoc,y,mspe,1.005605936050415,0.6,12800
posthoc,y,bias2,1.003438115119934,0.6,12800
posthoc,y,var,0.0021678938064724207,0.6,12800
posthoc,fx,mspe,0.0030617788434028625,0.6,12800
posthoc,fx,bias2,0.00024720720830373466,0.6,12800
posthoc,fx,var,0.0028145713731646538,0.6,12800
posthoc,fr,mspe,0.023556308820843697,0.6,12800
posthoc,fr,bias2,0.020741738379001617,0.6,12800
posthoc,fr,var,0.0028145713731646538,0.6,12800
posthoc,fz,mspe,0.001429105643182993,0.6,12800
posthoc,fz,bias2,1.0567593562882394e-05,0.6,12800
posthoc,fz,var,0.001418538042344153,0.6,12800
posthoc_orth,y,mspe,1.0055760145187378,0.6,12800
posthoc_orth,y,bias2,1.003385066986084,0.6,12800
posthoc_orth,y,var,0.002191044855862856,0.6,12800
posthoc_orth,fx,mspe,0.021598542109131813,0.6,12800
posthoc_orth,fx,bias2,0.019778069108724594,0.6,12800
posthoc_orth,fx,var,0.0018204738153144717,0.6,12800
posthoc_orth,fr,mspe,0.09229297935962677,0.6,12800
posthoc_orth,fr,bias2,0.08618734031915665,0.6,12800
posthoc_orth,fr,var,0.006105637643486261,0.6,12800
posthoc_orth,fz,mspe,0.019875606521964073,0.6,12800
posthoc_orth,fz,bias2,0.01965896040201187,0.6,12800
posthoc_orth,fz,var,0.0002166462072636932,0.6,12800
base,y,mspe,1.0292112827301025,0.7,12800
base,y,bias2,1.0282140970230103,0.7,12800
base,y,var,0.000997059280052781,0.7,12800
base,fx,mspe,0.06713879853487015,0.7,12800
base,fx,bias2,0.06636498123407364,0.7,12800
base,fx,var,0.0007738193380646408,0.7,12800
base,fr,mspe,0.1532839983701706,0.7,12800
base,fr,bias2,0.15251018106937408,0.7,12800
base,fr,var,0.0007738193380646408,0.7,12800
base,fz,mspe,0.07795459032058716,0.7,12800
base,fz,bias2,0.07795459032058716,0.7,12800
base,fz,var,0.0,0.7,12800
posthoc,y,mspe,1.0055980682373047,0.7,12800
posthoc,y,bias2,1.0036325454711914,0.7,12800
posthoc,y,var,0.0019655227661132812,0.7,12800
posthoc,fx,mspe,0.004185442812740803,0.7,12800
posthoc,fx,bias2,0.0004405301879160106,0.7,12800
posthoc,fx,var,0.003744912799447775,0.7,12800
posthoc,fr,mspe,0.02707524597644806,0.7,12800
posthoc,fr,bias2,0.023330332711338997,0.7,12800
posthoc,fr,var,0.003744912799447775,0.7,12800
posthoc,fz,mspe,0.0027591863181442022,0.7,12800
posthoc,fz,bias2,0.00012987818627152592,0.7,12800
posthoc,fz,var,0.002629308495670557,0.7,12800
posthoc_orth,y,mspe,1.005599021911621,0.7,12800
posthoc_orth,y,bias2,1.0036331415176392,0.7,12800
posthoc_orth,y,var,0.0019659842364490032,0.7,12800
